date,quantity,purchase_quantity,stock_balance,forecast_quantity
2021-04-01,3672.0,3991.0,319.0,
2021-05-01,9153.0,7083.0,-1751.0,
2021-06-01,11071.0,13828.0,1006.0,
2021-07-01,10100.0,13699.0,4605.0,
2021-08-01,15279.0,10215.0,-459.0,
2021-09-01,10931.0,8314.0,-3076.0,
2021-10-01,9637.0,10427.0,-2286.0,
2021-11-01,9561.0,15940.0,4093.0,
2021-12-01,12208.0,11419.0,3304.0,
2022-01-01,9103.0,18389.0,12590.0,
2022-02-01,8858.0,10252.0,13984.0,
2022-03-01,10293.0,28627.0,32318.0,
2022-04-01,8706.0,6180.0,29792.0,
2022-05-01,10638.0,9564.0,28718.0,
2022-06-01,12432.0,14261.0,30547.0,
2022-07-01,13605.0,10196.0,27138.0,
2022-08-01,9862.0,9275.0,26551.0,
2022-09-01,9619.0,11516.0,28448.0,
2022-10-01,10615.0,10399.0,28232.0,
2022-11-01,8688.0,6962.0,26506.0,
2022-12-01,12083.0,17862.0,32285.0,
2023-01-01,11937.0,10371.0,30719.0,
2023-02-01,11050.0,8509.0,28178.0,
2023-03-01,9383.0,13657.0,32452.0,
2024-04-01,12258.0,11177.0,31371.0,
2024-05-01,12148.0,23185.0,42408.0,
2024-06-01,13693.0,20853.0,49568.0,
2024-07-01,13718.0,162802.0,198652.0,
2024-08-01,65468.0,21053.0,154237.0,
2024-10-01,19687.0,14737.0,149287.0,
2024-11-01,118500.0,12782.0,43569.0,
2024-12-01,22529.0,154727.0,175767.0,
2025-01-01,12834.0,9363.0,172296.0,
2025-02-01,21788.0,17135.0,167643.0,
2025-03-01,16204.0,85746.0,237185.0,
2025-04-01,,0.0,,22212.566
2025-05-01,,0.0,,22060.28
2025-06-01,,0.0,,22060.28
2025-07-01,,0.0,,22213.738
2025-08-01,,0.0,,22060.28
2025-09-01,,0.0,,22060.28
